isi,block,trial,isi_ms,isi_frames,theta,log_cnt,resp,rt,stim_duration,blank_duration,cnt,correct
34,8,1174,660,66,-45,-1.8546873026985,-1,0.485663800000111,0.0411039000000528,0.656818500000554,0.0139737412527265,1
9,8,1175,160,16,45,-1.8546873026985,1,0.617659900000035,0.0421381999994992,0.156270499999664,0.0139737412527265,1
1,8,1176,0,0,-45,-1.8546873026985,-1,1.10829569999987,0.0398939999995491,0.0196992999999566,0.0139737412527265,1
31,8,1177,600,60,45,-1.8546873026985,1,0.559462899999744,0.0439552999996522,0.596685400000752,0.0139737412527265,1
45,8,1178,880,88,-45,-1.8546873026985,1,0.616802699999425,0.0423795999995491,0.876656399999774,0.0139737412527265,0
34,8,1179,660,66,45,-1.8546873026985,1,0.515121299999919,0.0435811987736088,0.656967701225767,0.0139737412527265,1
49,8,1180,960,96,45,-1.8546873026985,1,0.537822500000402,0.041265700000622,0.956750999999713,0.0139737412527265,1
46,8,1181,900,90,-45,-1.8546873026985,1,0.900273100000049,0.0416352000002007,0.897956599999816,0.0139737412527265,0
50,8,1182,980,98,-45,-1.8546873026985,1,0.562156399999367,0.0446658000000753,0.977152700000261,0.0139737412527265,0
27,8,1183,520,52,45,-1.8546873026985,-1,0.69095440000001,0.0404906000003393,0.516659799999616,0.0139737412527265,0
20,8,1184,380,38,45,-1.8546873026985,1,0.71694430000025,0.0419932316972336,0.376992868302295,0.0139737412527265,1
22,8,1185,420,42,45,-1.8546873026985,1,0.534490999999434,0.0415998000007676,0.415999099999681,0.0139737412527265,1
22,8,1186,420,42,-45,-1.8546873026985,-1,0.595889199999874,0.0434987999997247,0.416588199999751,0.0139737412527265,1
41,8,1187,800,80,45,-1.8546873026985,1,0.554138200000125,0.0498723000000609,0.80417529999977,0.0139737412527265,1
29,8,1188,560,56,-45,-1.8546873026985,-1,0.697969499999999,0.0415939999993498,0.556584200000543,0.0139737412527265,1
43,8,1189,840,84,45,-1.8546873026985,1,0.672889700000269,0.0496542000000773,0.845211699999709,0.0139737412527265,1
45,8,1190,880,88,45,-1.8546873026985,1,0.520104700000047,0.0497183999996196,0.886195400000361,0.0139737412527265,1
51,8,1191,1000,100,45,-1.8546873026985,1,0.564373600000181,0.0496869999997216,1.00202400000035,0.0139737412527265,1
27,8,1192,520,52,-45,-1.8546873026985,-1,0.80167099999926,0.041846500000247,0.516510599999492,0.0139737412527265,1
10,8,1193,180,18,45,-1.8546873026985,1,0.563701800000672,0.043757700000242,0.176284799999848,0.0139737412527265,1
43,8,1194,840,84,45,-1.8546873026985,1,0.703101600000082,0.0442558999993707,0.83670979999988,0.0139737412527265,1
