response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int,correct,prev_resp_congruent,contrast_congruent,State
0,1,-1.0,1,,1,2,0.9802245331466418,0.019775466853338298,1,0,1,1
0,-1,-1.0,0,,1,-1,0.9800278303755212,0.019972169624469033,1,1,1,1
0,-1,-1.0,0,,1,-1,0.9836189380473163,0.01638106195267352,1,1,1,1
1,-1,-1.0,0,,1,-1,0.9911017158431183,0.008898284156827911,0,0,0,1
0,1,-1.0,0,,1,1,0.992077667098709,0.007922332901338052,1,0,1,1
1,-1,2.5,0,10.0,1,-1,0.9909466001589323,0.00905339984105279,1,0,1,1
0,1,-1.0,2,,1,3,0.9902763740066756,0.009723625993334905,1,0,1,1
0,-1,-1.0,0,,1,-1,0.9868187144859383,0.013181285514037076,1,1,1,1
0,-1,-1.0,0,,1,-1,0.9869091422106802,0.013090857789344398,1,1,1,1
1,-1,1.0,0,-2.0,1,-1,0.9905502724725489,0.00944972752739857,1,0,1,1
0,1,-1.0,1,,1,2,0.9914320616596398,0.008567938340327194,1,0,1,1
1,-1,1.0,0,-3.0,1,-1,0.9900250407462804,0.009974959253713566,1,0,1,1
0,1,-1.0,1,,1,2,0.9855784101863337,0.014421589813648314,1,0,1,1
0,-1,-1.0,0,,1,-1,0.9757194062389279,0.0242805937610767,1,1,1,1
1,-1,2.5,0,10.0,1,-1,0.9701434762400059,0.029856523760042008,1,0,1,1
0,1,-1.0,2,,1,3,0.963032883958006,0.03696711604202026,1,0,1,1
0,-1,-1.0,0,,1,-1,0.9454586918301805,0.054541308169820966,1,1,1,1
0,-1,1.0,0,0.0,1,-1,0.9333355031622835,0.06666449683772824,0,1,0,1
1,-1,1.0,1,0.0,1,0,0.9392839247026812,0.06071607529730204,1,0,1,1
1,1,1.0,1,2.0,1,2,0.935349084706507,0.06465091529350854,1,0,1,1
0,1,-1.0,1,,1,2,0.9361129672802024,0.06388703271984385,1,0,1,1
0,-1,-1.0,0,,1,-1,0.9263291070376175,0.07367089296239715,1,1,1,1
0,-1,-1.0,0,,1,-1,0.9215724619018422,0.07842753809821029,1,1,1,1
0,-1,-1.0,0,,1,-1,0.921705463274845,0.07829453672510833,1,1,1,1
1,-1,2.5,0,-10.0,1,-1,0.9267319577361552,0.07326804226387876,1,0,1,1
