,response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int,correct,prev_resp_congruent,contrast_congruent,Predicted_state
28,0,-1,-1.0,0,,1,-1,0.9851143303796136,0.0148856696203764,1,1,1,1
29,1,-1,2.5,0,10.0,1,-1,0.9876888642239052,0.0123111357760997,1,0,1,1
30,0,1,-1.0,2,,1,3,0.990303809691363,0.0096961903085956,1,0,1,1
31,1,-1,1.0,0,3.0,1,-1,0.9902588608271112,0.0097411391729203,1,0,1,1
32,1,1,1.0,1,-2.0,1,2,0.9875300324956904,0.0124699675043403,1,0,1,1
33,0,1,-1.0,1,,1,2,0.9883017668394132,0.0116982331606431,1,0,1,1
34,1,-1,1.0,0,1.0,1,-1,0.98597950825682,0.0140204917431476,1,0,1,1
35,1,1,1.0,1,3.0,1,2,0.9793240778041092,0.0206759221958631,1,0,1,1
36,1,1,1.0,1,0.0,1,2,0.9766197928404398,0.0233802071595826,1,0,1,1
37,1,1,1.0,1,2.0,1,2,0.9777884417942784,0.0222115582056839,1,0,1,1
38,0,1,-1.0,1,,1,2,0.98286382357104,0.0171361764289954,1,0,1,1
39,1,-1,1.0,0,0.0,1,-1,0.9834507685022328,0.0165492314978106,1,0,1,1
40,1,1,2.5,1,-10.0,1,2,0.9798624759040804,0.0201375240959611,1,0,1,1
41,1,1,1.0,2,3.0,1,3,0.9786031661888172,0.0213968338112104,1,0,1,1
42,1,1,1.0,1,-1.0,1,2,0.9811565456293576,0.0188434543706982,1,0,1,1
43,0,1,-1.0,1,,1,2,0.9875964614055216,0.0124035385944634,1,0,1,1
44,1,-1,1.0,0,3.0,1,-1,0.9900314961056736,0.0099685038943348,1,0,1,1
45,0,1,-1.0,1,,1,2,0.9897610070670464,0.0102389929329875,1,0,1,1
46,1,-1,1.0,0,3.0,1,-1,0.9866406588034924,0.0133593411964919,1,0,1,1
47,1,1,1.0,1,1.0,1,2,0.979005404237552,0.0209945957623975,1,0,1,1
48,1,1,1.0,1,-2.0,1,2,0.9753974788251686,0.0246025211748873,1,0,1,1
49,1,1,1.0,1,2.0,1,2,0.975712536493208,0.0242874635068439,1,0,1,1
50,0,1,-1.0,1,,1,2,0.9799596891347075,0.020040310865245,1,0,1,1
51,0,-1,-1.0,0,,1,-1,0.9793590004387526,0.0206409995612585,1,1,1,1
52,1,-1,2.5,0,-10.0,1,-1,0.9825576085835156,0.0174423914164834,1,0,1,1
53,0,1,-1.0,2,,1,3,0.9853557403300036,0.0146442596700063,1,0,1,1
54,1,-1,1.0,0,-1.0,1,-1,0.9844088142858616,0.0155911857141832,1,0,1,1
55,0,1,-1.0,1,,1,2,0.9792115418391384,0.0207884581608449,1,0,1,1
56,0,-1,-1.0,0,,1,-1,0.966990609703194,0.0330093902967676,1,1,1,1
57,0,-1,-1.0,0,,1,-1,0.959426510360232,0.0405734896397323,1,1,1,1
58,1,-1,2.5,0,10.0,1,-1,0.9563004798472476,0.043699520152721,1,0,1,1
59,1,1,1.0,2,1.0,1,3,0.9511910142418524,0.0488089857581892,1,0,1,1
60,1,1,1.0,1,0.0,1,2,0.9505607107594456,0.0494392892406079,1,0,1,1
61,1,1,1.0,1,3.0,1,2,0.9543913401725004,0.0456086598274703,1,0,1,1
62,1,1,1.0,1,-3.0,1,2,0.9627936894544684,0.0372063105455869,1,0,1,1
63,0,1,-1.0,1,,1,2,0.9760107658877532,0.0239892341122676,1,0,1,1
64,1,-1,1.0,0,-2.0,1,-1,0.981508409306169,0.0184915906937757,1,0,1,1
65,1,1,2.5,1,10.0,1,2,0.982220213762369,0.0177797862376685,1,0,1,1
66,0,1,-1.0,2,,1,3,0.9852679852084774,0.0147320147914755,1,0,1,1
67,0,-1,-1.0,0,,1,-1,0.984534148314666,0.0154658516853648,1,1,1,1
68,1,-1,1.0,0,-3.0,1,-1,0.9874204396962396,0.012579560303757,1,0,1,1
69,0,1,-1.0,1,,1,2,0.986976174430218,0.0130238255697394,1,0,1,1
70,0,-1,-1.0,0,,1,-1,0.9829642884070504,0.0170357115929316,1,1,1,1
71,0,-1,-1.0,0,,1,-1,0.9826587304888194,0.0173412695112199,1,1,1,1
72,1,-1,1.0,0,2.0,1,-1,0.9860506635280056,0.0139493364720395,1,0,1,1
73,1,1,1.0,1,0.0,1,2,0.9857800511309502,0.0142199488690272,1,0,1,1
74,0,1,1.0,1,-1.0,1,2,0.9890932564015552,0.0109067435984055,0,0,0,1
75,1,-1,2.5,1,10.0,1,0,0.98620555367731,0.0137944463226915,1,0,1,1
76,1,1,1.0,2,-3.0,1,3,0.9832018508858024,0.016798149114226,1,0,1,1
77,0,1,-1.0,1,,1,2,0.9838680962718644,0.0161319037281845,1,0,1,1
78,1,-1,1.0,0,-3.0,1,-1,0.980452936715694,0.0195470632842601,1,0,1,1
79,0,1,-1.0,1,,1,2,0.9711340110713036,0.0288659889287202,1,0,1,1
80,0,-1,-1.0,0,,1,-1,0.9509386532769212,0.0490613467231291,1,1,1,1
81,0,-1,-1.0,0,,1,-1,0.9364202565543592,0.0635797434456838,1,1,1,1
82,0,-1,-1.0,0,,1,-1,0.9271589292736092,0.0728410707264472,1,1,1,1
83,0,-1,-1.0,0,,1,-1,0.9228868213487222,0.0771131786513004,1,1,1,1
84,0,-1,-1.0,0,,1,-1,0.9234803776521392,0.0765196223478923,1,1,1,1
85,0,-1,-1.0,0,,1,-1,0.9289567646332504,0.0710432353667462,1,1,1,1
86,1,-1,1.0,0,3.0,1,-1,0.9394743667956532,0.0605256332043686,1,0,1,1
87,1,1,2.5,1,-10.0,1,2,0.9396045743993944,0.0603954256006052,1,0,1,1
